rank,candidate_id,cosine_similarity,intent_score,alignment_score,promotion_velocity,avg_tenure_per_role,total_career_duration,years_of_experience,rationale
28,CAND_0000004,0.290563,0.32717,0.290563,0.8182,1.222222222222222,3.6666666666666665,3.8,Experience narrative overlaps with core elements of the job description at a moderate confidence level. Signal decomposition: semantic capability and behavioural intent contribute approximately equally (57% / 43%) to the attributable score weight. Intent metrics indicate periodic engagement; activity cadence is consistent but not intensive. Career velocity is elevated — role transitions indicate rapid upward progression. Average role tenure is compact — candidate moves fast and adapts quickly across contexts. Balanced but moderate overall signal — recommended for secondary evaluation.
29,CAND_0000012,0.287507,0.278312,0.287507,0.9231,1.0833333333333333,1.0833333333333333,1.1,"Moderate semantic alignment with the role — candidate covers a meaningful subset of the required skill space. Signal decomposition: semantic capability contributes 61% of the attributable score weight, with behavioural intent accounting for the remaining 39%. Intent signal is below threshold — limited recent platform activity detected. Promotion cadence exceeds the cohort average, signalling accelerated career momentum. Average role tenure is compact — candidate moves fast and adapts quickly across contexts. Aggregate alignment score is mid-tier; candidate may be suitable with additional context review."
30,CAND_0000016,0.285354,0.475832,0.285354,0.5714,1.75,5.25,5.3,"Moderate semantic alignment with the role — candidate covers a meaningful subset of the required skill space. Signal decomposition: semantic capability and behavioural intent contribute approximately equally (47% / 53%) to the attributable score weight. Behavioural engagement is at a moderate level — candidate demonstrates intermittent platform activity. Promotion cadence exceeds the cohort average, signalling accelerated career momentum. Balanced but moderate overall signal — recommended for secondary evaluation."
31,CAND_0000007,0.279509,0.333902,0.279509,0.3692,2.7083333333333335,5.416666666666667,5.5,Experience narrative overlaps with core elements of the job description at a moderate confidence level. Signal decomposition: semantic capability and behavioural intent contribute approximately equally (56% / 44%) to the attributable score weight. Platform signals suggest a moderate engagement pattern across interaction and submission dimensions. Extended role tenures signal depth over breadth — candidate likely possesses specialised institutional knowledge. Moderate composite score — candidate is a viable option; manual review of supporting profile is advised.
32,CAND_0000041,0.277234,0.511362,0.277234,0.3704,2.6999999999999997,13.5,13.7,Experience narrative overlaps with core elements of the job description at a moderate confidence level. Signal decomposition: semantic capability and behavioural intent contribute approximately equally (45% / 55%) to the attributable score weight. Behavioural metrics reflect strong active presence on the platform. Low velocity reflects stability-focused career development rather than frequent role-hopping. Extended career timeline confirms multi-year professional exposure across the technical domain. Balanced but moderate overall signal — recommended for secondary evaluation.
33,CAND_0000035,0.276179,0.3537,0.276179,0.4706,2.125,4.25,4.3,Experience narrative overlaps with core elements of the job description at a moderate confidence level. Signal decomposition: semantic capability and behavioural intent contribute approximately equally (54% / 46%) to the attributable score weight. Behavioural engagement is at a moderate level — candidate demonstrates intermittent platform activity. High velocity metric confirms rapid role advancement despite a compact career timeline. Balanced but moderate overall signal — recommended for secondary evaluation.
34,CAND_0000048,0.269886,0.455115,0.269886,0.4211,2.375,9.5,9.7,Moderate semantic alignment with the role — candidate covers a meaningful subset of the required skill space. Signal decomposition: semantic capability and behavioural intent contribute approximately equally (47% / 53%) to the attributable score weight. Behavioural engagement is at a moderate level — candidate demonstrates intermittent platform activity. Career velocity is elevated — role transitions indicate rapid upward progression. Extended career timeline confirms multi-year professional exposure across the technical domain. Aggregate alignment score is mid-tier; candidate may be suitable with additional context review.
35,CAND_0000013,0.263937,0.331273,0.263937,0.9231,1.0833333333333333,1.0833333333333333,1.1,"Partial capability match identified; candidate demonstrates relevant but not exhaustive technical coverage. Signal decomposition: semantic capability and behavioural intent contribute approximately equally (54% / 46%) to the attributable score weight. Intent metrics indicate periodic engagement; activity cadence is consistent but not intensive. Promotion cadence exceeds the cohort average, signalling accelerated career momentum. Short mean tenure indicates high adaptability and willingness to take on new challenges rapidly. Moderate composite score — candidate is a viable option; manual review of supporting profile is advised."
36,CAND_0000044,0.261975,0.359139,0.261975,0.3529,2.8333333333333335,5.666666666666667,5.7,Partial capability match identified; candidate demonstrates relevant but not exhaustive technical coverage. Signal decomposition: semantic capability and behavioural intent contribute approximately equally (52% / 48%) to the attributable score weight. Platform signals suggest a moderate engagement pattern across interaction and submission dimensions. Extended role tenures signal depth over breadth — candidate likely possesses specialised institutional knowledge. Balanced but moderate overall signal — recommended for secondary evaluation.
37,CAND_0000030,0.259921,0.449672,0.259921,0.3051,3.277777777777778,9.833333333333334,10.0,"Partial capability match identified; candidate demonstrates relevant but not exhaustive technical coverage. Signal decomposition: semantic capability and behavioural intent contribute approximately equally (46% / 54%) to the attributable score weight. Platform signals suggest a moderate engagement pattern across interaction and submission dimensions. Career trajectory shows deliberate, steady tenure — indicative of deep domain expertise accumulation. Total career duration is substantial — candidate brings a significant depth of accumulated experience. Aggregate alignment score is mid-tier; candidate may be suitable with additional context review."
38,CAND_0000028,0.259834,0.299371,0.259834,0.9231,1.0833333333333333,1.0833333333333333,1.1,"Moderate semantic alignment with the role — candidate covers a meaningful subset of the required skill space. Signal decomposition: semantic capability and behavioural intent contribute approximately equally (57% / 43%) to the attributable score weight. Behavioural activation is low; candidate may be passive on the platform relative to peers. Promotion cadence exceeds the cohort average, signalling accelerated career momentum. Short mean tenure indicates high adaptability and willingness to take on new challenges rapidly. Moderate composite score — candidate is a viable option; manual review of supporting profile is advised."
39,CAND_0000037,0.259693,0.482534,0.259693,0.3529,2.8333333333333335,14.166666666666666,14.3,"Experience narrative overlaps with core elements of the job description at a moderate confidence level. Signal decomposition: semantic capability and behavioural intent contribute approximately equally (45% / 55%) to the attributable score weight. Intent metrics indicate periodic engagement; activity cadence is consistent but not intensive. Career trajectory shows deliberate, steady tenure — indicative of deep domain expertise accumulation. Extended career timeline confirms multi-year professional exposure across the technical domain. Moderate composite score — candidate is a viable option; manual review of supporting profile is advised."
40,CAND_0000019,0.258444,0.386411,0.258444,0.4675,2.138888888888889,6.416666666666667,6.5,Partial capability match identified; candidate demonstrates relevant but not exhaustive technical coverage. Signal decomposition: semantic capability and behavioural intent contribute approximately equally (50% / 50%) to the attributable score weight. Behavioural engagement is at a moderate level — candidate demonstrates intermittent platform activity. High velocity metric confirms rapid role advancement despite a compact career timeline. Moderate composite score — candidate is a viable option; manual review of supporting profile is advised.
41,CAND_0000020,0.254093,0.477199,0.254093,0.48,2.0833333333333335,6.25,6.3,Moderate semantic alignment with the role — candidate covers a meaningful subset of the required skill space. Signal decomposition: semantic capability and behavioural intent contribute approximately equally (44% / 56%) to the attributable score weight. Platform signals suggest a moderate engagement pattern across interaction and submission dimensions. High velocity metric confirms rapid role advancement despite a compact career timeline. Moderate composite score — candidate is a viable option; manual review of supporting profile is advised.
42,CAND_0000001,0.243645,0.459652,0.243645,0.2927,3.4166666666666665,6.833333333333333,6.9,"Weak direct skill match detected; ranking is driven primarily by behavioural intent and model re-ranking. Signal decomposition: semantic capability and behavioural intent contribute approximately equally (44% / 56%) to the attributable score weight. Intent metrics indicate periodic engagement; activity cadence is consistent but not intensive. Career trajectory shows deliberate, steady tenure — indicative of deep domain expertise accumulation. Aggregate alignment score is mid-tier; candidate may be suitable with additional context review."
43,CAND_0000029,0.243055,0.33624,0.243055,0.4235,2.361111111111111,7.083333333333333,7.2,"Weak direct skill match detected; ranking is driven primarily by behavioural intent and model re-ranking. Signal decomposition: semantic capability and behavioural intent contribute approximately equally (52% / 48%) to the attributable score weight. Platform signals suggest a moderate engagement pattern across interaction and submission dimensions. Promotion cadence exceeds the cohort average, signalling accelerated career momentum. Aggregate alignment score is mid-tier; candidate may be suitable with additional context review."
44,CAND_0000049,0.240943,0.470214,0.240943,0.2553,3.9166666666666665,11.75,11.8,Semantic alignment with the role specification is limited — candidate's technical profile diverges from primary criteria. Signal decomposition: semantic capability and behavioural intent contribute approximately equally (43% / 57%) to the attributable score weight. Behavioural engagement is at a moderate level — candidate demonstrates intermittent platform activity. Extended role tenures signal depth over breadth — candidate likely possesses specialised institutional knowledge. Total career duration is substantial — candidate brings a significant depth of accumulated experience. Aggregate alignment score is mid-tier; candidate may be suitable with additional context review.
45,CAND_0000026,0.228415,0.442059,0.228415,0.45,2.2222222222222223,6.666666666666667,6.8,Weak direct skill match detected; ranking is driven primarily by behavioural intent and model re-ranking. Signal decomposition: semantic capability and behavioural intent contribute approximately equally (44% / 56%) to the attributable score weight. Platform signals suggest a moderate engagement pattern across interaction and submission dimensions. High velocity metric confirms rapid role advancement despite a compact career timeline. Balanced but moderate overall signal — recommended for secondary evaluation.
46,CAND_0000034,0.227256,0.483588,0.227256,0.4941,2.0238095238095237,14.166666666666666,14.5,"Semantic alignment with the role specification is limited — candidate's technical profile diverges from primary criteria. Signal decomposition: platform behavioural intent drives 59% of the attributable score weight, with semantic capability contributing 41%. Behavioural engagement is at a moderate level — candidate demonstrates intermittent platform activity. High velocity metric confirms rapid role advancement despite a compact career timeline. Extended career timeline confirms multi-year professional exposure across the technical domain. Moderate composite score — candidate is a viable option; manual review of supporting profile is advised."
47,CAND_0000024,0.221928,0.506349,0.221928,0.2697,3.7083333333333335,7.416666666666667,7.5,"Semantic alignment with the role specification is limited — candidate's technical profile diverges from primary criteria. Signal decomposition: platform behavioural intent drives 60% of the attributable score weight, with semantic capability contributing 40%. Intent score is high — platform behaviour indicates consistent, recent engagement. Career trajectory shows deliberate, steady tenure — indicative of deep domain expertise accumulation. Moderate composite score — candidate is a viable option; manual review of supporting profile is advised."
48,CAND_0000005,0.200823,0.519372,0.200823,0.3692,2.7083333333333335,10.833333333333334,11.0,"Weak direct skill match detected; ranking is driven primarily by behavioural intent and model re-ranking. Signal decomposition: platform behavioural intent drives 63% of the attributable score weight, with semantic capability contributing 37%. High intent activation confirms regular submission activity and profile investment. Extended role tenures signal depth over breadth — candidate likely possesses specialised institutional knowledge. Total career duration is substantial — candidate brings a significant depth of accumulated experience. Aggregate alignment score is mid-tier; candidate may be suitable with additional context review."
49,CAND_0000036,0.194961,0.547249,0.194961,0.4478,2.2333333333333334,11.166666666666666,11.3,"Semantic alignment with the role specification is limited — candidate's technical profile diverges from primary criteria. Signal decomposition: platform behavioural intent drives 65% of the attributable score weight, with semantic capability contributing 35%. Intent score is high — platform behaviour indicates consistent, recent engagement. Promotion cadence exceeds the cohort average, signalling accelerated career momentum. Total career duration is substantial — candidate brings a significant depth of accumulated experience. Balanced but moderate overall signal — recommended for secondary evaluation."
50,CAND_0000009,0.095773,0.458619,0.095773,0.3664,2.7291666666666665,10.916666666666666,11.0,"Weak direct skill match detected; ranking is driven primarily by behavioural intent and model re-ranking. Signal decomposition: platform behavioural intent drives 76% of the attributable score weight, with semantic capability contributing 24%. Platform signals suggest a moderate engagement pattern across interaction and submission dimensions. Extended role tenures signal depth over breadth — candidate likely possesses specialised institutional knowledge. Total career duration is substantial — candidate brings a significant depth of accumulated experience. Moderate composite score — candidate is a viable option; manual review of supporting profile is advised."
