candidate_id,rank,score,reasoning
CAND_0047553,1,8.227025,Operations Manager with 1.2 yrs; 17 AI core skills; response rate 0.74.
CAND_0053865,61,8.008869,Mechanical Engineer with 2.3 yrs; 6 AI core skills; response rate 0.08.
CAND_0032971,62,8.006988,Sales Executive with 1.8 yrs; 17 AI core skills; response rate 0.52.
CAND_0049437,63,7.999216,Graphic Designer with 2.6 yrs; 5 AI core skills; response rate 0.74.
CAND_0056942,64,7.993372,HR Manager with 3.2 yrs; 9 AI core skills; response rate 0.18.
CAND_0090102,65,7.992245,HR Manager with 1.9 yrs; 8 AI core skills; response rate 0.24.
CAND_0056720,66,7.990935,Mechanical Engineer with 2.8 yrs; 16 AI core skills; response rate 0.63.
CAND_0006502,67,7.989041,Marketing Manager with 1.6 yrs; 10 AI core skills; response rate 0.11.
CAND_0004655,68,7.987733,Mechanical Engineer with 1.6 yrs; 9 AI core skills; response rate 0.43.
CAND_0053668,69,7.984195,Mechanical Engineer with 2.4 yrs; 6 AI core skills; response rate 0.47.
CAND_0011362,70,7.981887,Civil Engineer with 2.6 yrs; 9 AI core skills; response rate 0.08.
CAND_0054286,71,7.980797,HR Manager with 2.4 yrs; 9 AI core skills; response rate 0.35.
CAND_0070953,72,7.980701,Civil Engineer with 2.4 yrs; 6 AI core skills; response rate 0.47.
CAND_0071495,73,7.974998,Graphic Designer with 1.4 yrs; 7 AI core skills; response rate 0.57.
CAND_0063760,74,7.969457,Civil Engineer with 4.1 yrs; 10 AI core skills; response rate 0.52.
CAND_0027396,75,7.966629,Mechanical Engineer with 2.9 yrs; 8 AI core skills; response rate 0.42.
CAND_0092007,76,7.965938,Mechanical Engineer with 1.8 yrs; 8 AI core skills; response rate 0.21.
CAND_0000815,77,7.958269,Project Manager with 2.5 yrs; 17 AI core skills; response rate 0.39.
CAND_0009190,78,7.954123,HR Manager with 1.0 yrs; 21 AI core skills; response rate 0.39.
CAND_0002242,79,7.95164,Business Analyst with 2.4 yrs; 7 AI core skills; response rate 0.62.
CAND_0030785,80,7.946598,Customer Support with 1.6 yrs; 7 AI core skills; response rate 0.28.
CAND_0092052,81,7.945068,HR Manager with 3.6 yrs; 11 AI core skills; response rate 0.25.
CAND_0061502,82,7.943356,Mechanical Engineer with 4.4 yrs; 9 AI core skills; response rate 0.19.
CAND_0000889,83,7.941537,Mechanical Engineer with 1.6 yrs; 7 AI core skills; response rate 0.38.
CAND_0054362,84,7.940408,Project Manager with 1.9 yrs; 7 AI core skills; response rate 0.25.
CAND_0026346,85,7.920087,Civil Engineer with 1.0 yrs; 6 AI core skills; response rate 0.49.
CAND_0000301,86,7.918498,Operations Manager with 1.9 yrs; 7 AI core skills; response rate 0.33.
CAND_0005901,87,7.913061,Business Analyst with 4.0 yrs; 16 AI core skills; response rate 0.29.
CAND_0056641,88,7.906082,Project Manager with 1.9 yrs; 5 AI core skills; response rate 0.32.
CAND_0033393,89,7.902123,Project Manager with 1.8 yrs; 20 AI core skills; response rate 0.38.
CAND_0048299,90,7.900894,Operations Manager with 2.1 yrs; 10 AI core skills; response rate 0.16.
CAND_0007111,91,7.892106,Mechanical Engineer with 3.4 yrs; 9 AI core skills; response rate 0.06.
CAND_0000772,92,7.891453,Mechanical Engineer with 1.6 yrs; 8 AI core skills; response rate 0.62.
CAND_0043681,93,7.888725,Sales Executive with 1.9 yrs; 9 AI core skills; response rate 0.40.
CAND_0092918,94,7.887809,Mechanical Engineer with 2.9 yrs; 10 AI core skills; response rate 0.77.
CAND_0057520,95,7.878345,Customer Support with 1.1 yrs; 11 AI core skills; response rate 0.66.
CAND_0076967,96,7.868159,HR Manager with 4.2 yrs; 9 AI core skills; response rate 0.74.
CAND_0068673,97,7.865191,Sales Executive with 4.0 yrs; 7 AI core skills; response rate 0.66.
CAND_0049788,98,7.860097,Operations Manager with 3.6 yrs; 7 AI core skills; response rate 0.58.
CAND_0029463,99,7.859697,Mechanical Engineer with 3.9 yrs; 10 AI core skills; response rate 0.20.
CAND_0078495,100,7.854343,Marketing Manager with 3.0 yrs; 8 AI core skills; response rate 0.60.
